ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS
 120300953,Carne estragada,Guarulhos - SP,2021-01-03,BIG - Lojas Físicas<->Produtos estragados<->Hipermercados,Respondida,"No sábado dia 27/02/21 comprei 11espetos que estavam com aparência de carne boa, mas na hora de colocar no caixa fui instruída pela atendente a lavar as embalagens porque alguma deve ter vazado e ficou o mal cheiro. Cheguei em casa lavei as embalagens e na hora que chegamos no sítio e abrimos o saquinho dos espetos estavam podres! Que vergonha! Ficou impossível trazer os espetos de volta, porque estavam muito podres. Quero o ressarcimento desse valor, porque foi muito desconfortável levar algo do hipermercado big e estar podre e acabar com o apetite da minha família.",https://www.reclameaqui.com.br//big-hipermercados/carne-estragada_YeDWcFTvmji9rTWW/,2021,1,3,3,53,6,1,1
 121856411,Produto com defeito ,São Paulo - SP,2021-01-04,BIG - Lojas Físicas<->Estorno do valor pago<->Eletrodomésticos<->Micro-ondas,Respondida,No dia 19/03/2021 fui walmart de São Judas comprar um microondas Fui as 17 hs comprei um microondas philco 32 l. Modelo PHC PMO 33IP 32L 1 Paguei 669.00 reais era um presente de casamento para minha surpresa no domingo 21/03/21 quando os noivos foram usar microondas o mesmo nao funcionou entrei em contato com a loja fui até a loja e nao fizeram nada pediram para levar assistencia e eu estava prazo de 7 dias consumidor para cancelar a compra e ninguem fez nada e para nao passar vergonha comprei outro microondas para dar para pessoa enfim solicito a ajuda para cancelar a compra e a devoluçao do valor pois nao posso ficar prejuizo estou enviando a nota do microondas e preciso de ajuda para resolver meu problema nao posso ficar prejuizo se quiser mando tbm a nota do que eu comprei hj para repor esse quebrado no aguardo,https://www.reclameaqui.com.br//big-hipermercados/produto-com-defeito_dgjC8Qi3Mr6avsQj/,2021,1,4,4,1,0,1,4
 121896031,Pedido incompleto,São Paulo - SP,2021-01-04,Problema com entrega de produto-compras<->BIG - Lojas Físicas<->Hipermercados,Não resolvido,"Fiz um pedido pelo ifood, paguei e na hora da entrega a lista foi atualizada com a exclusão de um dos itens, sem que o BIG entrasse em contato comigo para oferecer outro em substituição e sem que eu tivesse tempo hábil de cancelar o pedido. Sei que tinham outras opções para oferecer e assim deveriam ter feito, de acordo com o informado pelo Ifood no momento da compra. Me senti enganada por ter sido induzida à escolher o BIG pelo preço do item que foi excluído. Solicitei esclarecimento do BIG via e-mail do SAC e desde o dia 28/03 estou no aguardo de um contato do analista para um posicionamento, já corrigi o telefone que estava incorreto e continuo no aguardo. Total falta de respeito com o cliente.",https://www.reclameaqui.com.br//big-hipermercados/pedido-incompleto_5BTyt7NgeqgFksgx/,2021,1,4,4,1,0,1,4
 121898411,Pedido não entregue,São Paulo - SP,2021-01-04,Problema com entrega de produto-compras<->BIG - Lojas Físicas<->Hipermercados,Respondida,"Realizei um pedido no Supermercado Big através do Ifood. O pedido foi realizado para ser entregue no dia seguinte. No dia, o entregador que traria minhas compras afirmou que o Big perdeu minhas compras. Nunca vi tanta incompetência de um mercado. Uma falta de respeito com o consumidor.",https://www.reclameaqui.com.br//big-hipermercados/pedido-nao-entregue_Bcv0BCmYOcdLeLBu/,2021,1,4,4,1,0,1,4
 121888931,Pedido incompleto ,São Paulo - SP,2021-01-04,BIG - Lojas Físicas,Respondida,"Fiz uma compra pelo Ifood e depois de ter pagado recebi mensagem dizendo que a maior parte dos itens estava indisponível. Além de não ter mandado sugestão de troca, como disseram que fariam, não faz sentido eu receber apenas os pouquíssimos itens que estavam disponíveis até porque fiz a compra pra compensar a taxa de entrega. Pedi diversas vezes para cancelarem o pedido , inclusive pedi isso dentro do prazo. Nem o BIG e nem o Ifood me deram atenção. Estão mandando o motoboy com a entrega como se nada tivesse acontecendo. Brincam com o cliente, tratam como bem querem. Falei que não ia receber, mas o rapaz deixou na portaria e foi embora. Podem vir buscar e fazer o meu estorno, como solicitei.",https://www.reclameaqui.com.br//big-hipermercados/pedido-incompleto_zc_qb7cUPM47_vLS/,2021,1,4,4,1,0,1,4
 123327581,Tv com tela trincada ,Santa Cruz do Sul - RS,2021-01-05,BIG - Lojas Físicas<->Hipermercados<->Produto com defeito,Em réplica,"Compramos a tv no dia 26/04/2021 e já trouxemos para casa. No dia seguinte, 27/042021, instalamos e estava com a tela toda trincada. Não dava para ver quase nada da imagem. Na quarta feira fomos no big e nos informaram que não tinha nada o que fazer, e uma tela nova sairia quase o preço de uma tv nova. A empresa é obrigada a fazer a troca, é um absurdo esse tipo de comportamento, espero que seja resolvido.",https://www.reclameaqui.com.br//big-hipermercados/tv-com-tela-trincada_TtdYcmSDbnxYqoji/,2021,1,5,5,1,1,1,4
 123329847,Descaso e Constrangimento,Uruguaiana - RS,2021-01-05,Loja desorganizada<->BIG - Lojas Físicas<->Hipermercados,Em réplica,"Como não consegui entrar na reclamação do SAC da empresa, pois o site fica pedindo email e cep a toda hr, venho reclamar aqui do total descaso da rede com o estacionamento da filial Uruguaiana. Frequentemente há pessoas pedindo dinheiro e vendendo no local, fora q já há relatos de [Editado pelo Reclame Aqui] no mesmo. Deixo de ir comprar na loja por esse motivo, pois é muito chato a um cliente chegar em um local e ter 2.. 4.. pessoas pedindo e fora a insegurança. Acho q a rede deve dar maior atenção a este detalhe.",https://www.reclameaqui.com.br//big-hipermercados/descaso-e-constrangimento_DjQSGgyi0xwtfFsF/,2021,1,5,5,1,1,1,4
 123329329,Preço promocional não aplicado na compra,Osasco - SP,2021-01-05,BIG - Lojas Físicas<->Hipermercados<->Divergência de valores,Resolvido,"Estive no Big Osasco no dia 01/05/2021, encontrei uma promoção de biscoitos Nesfit, a unidade estava custando R$3,49 mas levando 3 do mesmo sabor e gramatura cada um sairia R$2,33 conforme descrito no cartaz, paguei minha compra e só em casa ao ver a nota fui perceber que o valor promocional não foi aplicado na minha nota, segue imagens do cartaz e nota fiscal ",https://www.reclameaqui.com.br//big-hipermercados/preco-promocional-nao-aplicado-na-compra_5yyH_GzHmO-c-uuB/,2021,1,5,5,1,1,1,4
 123316843,Televisão quebrada dia das mães ,São Paulo - SP,2021-01-05,BIG - Lojas Físicas,Respondida,"Fiz uma compra infeliz no hipermercado big! Comprei um televisão dia 26-05 as 21:50 da noite, a loja já estava pra fechar o funcionária simplesmente só me Deu a caixa e falou pra gente ir embora porque o mercado já estava pra fechar,não nos ofereceu nenhum teste após a compra. Nos informou que só tem 3 dias para troca,porém a lei do consumidor tem 7 dias de prazo para troca. Ontem dia 30/05 minha mãe recebeu sua televisão porque o painel que comprei de presente também chegou,quando abro a televisão a tela totalmente trincada! Na mesma hora fui ao mercado tentar resolver,os funcionárias disse que não tinha troca,que eu teria que me resolver com a Samsung! Mais porque com a Samsung se comprei com vocês? A gerente nem se quer iria se apresentar,se apresentou porque fiz o maior barraco pra ela aparecer lá e tentar resolver meu problema. E não serviu simplesmente pra nada ! Dias das mães falido,pior presente que pude dar a minha mãe. ",https://www.reclameaqui.com.br//big-hipermercados/televisao-quebrada-dia-das-maes_L0jCgJceP_J2XdpY/,2021,1,5,5,1,1,1,4
 124693329,desbloqueio sem minha autorização!,Ribeirão das Neves - MG,2021-01-06,BIG - Lojas Físicas<->Cobrança indevida<->Cartões de Crédito<->Cartão de crédito,Respondida,"no mes de abril fui ao hipermercado  comprar algumas coisas e la uma promotora me abordou para fazer um cartão, aceitei e fiz o tal cartao. Assim como no contrato que tenho em mãos, ela me disse queo cartão vem BLOQUEADO e que so iria desbloquear quando eu socitasse. ontem veio um SMS falando da minha fatura, hoje liguei la no hipercard. o atendente Wellington protocolo 822943007 me disse que meu cartao ja veio desbloqueado, depois me disse que eu liguei no dia 29/04 solicitando o desbloqueio. NUNCA LIGUEI PEDINDO O DESBLOQUEIO DO CARTAO!!!!!.Perguntei se era possivel a gravação da ligação do desbloquei e ele disse que sim, depois de aguardar alguns segundos, ele disse que eu nao poderia ter a gravação do pedido do desbloqueio do cartão, apenas da nossa conversa, sendo assim solicitei a gravação do meu atendimento e ate agora nao obtive um retorno concreto.tenho CERTEZA que alguem la da loja usou meu nome para desbloquear o cartao!Exijo a ligação onde SUPOSTAMENTE EU PEÇO O DESBLOQUEIO. Não irei pagar a fatura e vou entrar com medidas legais contra a HIPERCARD e contra o ponto de venda 732 e contra a operadora Lorena. Pois isso é ilegal!Hipercard LIXO!!!!",https://www.reclameaqui.com.br//big-hipermercados/desbloqueio-sem-minha-autorizacao_srOSc6q6vGaaRmNs/,2021,1,6,6,1,2,1,2
